location_id,name,lat,lng,type,area,built_year,heritage_status,vibe_category,building_age,heritage_density,tourist_attraction_density,distance_to_heritage_precinct,historical_significance,commercial_density,distance_to_transport,green_space_density,pedestrian_area_density,conservation_score,weekday_visitors,weekend_visitors,tourist_season_visitors,guided_tour_frequency,photography_permits_daily,historic_building_density,modern_development_ratio,green_heritage_space,stone_masonry_coverage,tourist_infrastructure,avg_building_height,heritage_building_density,architectural_uniformity,facade_preservation_score,courtyard_open_space,heritage_signage_density,restoration_activity,tourist_pathway_density,international_tourist_appeal,domestic_tourist_appeal,photography_popularity,educational_value,cultural_events_frequency,heritage_walk_inclusion,structural_integrity,maintenance_frequency,restoration_budget_index,conservation_priority,architectural_significance,peak_visiting_hours,seasonal_variation,guided_tour_availability,vibe_intensity,confidence_score,distance_to_heritage_district,architectural_era_score,heritage_age_significance,heritage_importance_score,heritage_walk_accessibility,tourism_infrastructure_score,walking_tour_frequency,hashtag_trend_strength,heritage_hashtag_alignment,distance_to_congestion_hotspot,congestion_impact_score,infrastructure_stress_indicator,peak_hour_chaos_prediction,is_weekend,current_month,is_monsoon,is_tourist_season,heritage_season_boost,weekend_heritage_boost,heritage_walk_timing_alignment,contextual_vibe_intensity,original_vibe_intensity
OS_011,Eros Cinema,18.9314,72.8289,Art Deco Cinema,Churchgate,1938,UNESCO World Heritage,Kickin' it old school,86,9.029231991,14.40215565,791.6625058,7.742436876,11.97449775,639.8236088,5.447693295,16.8746163,9.490794964,1854,5069,7003,4,4,0.907933743,0.389361899,0.226301052,0.511546307,0.226884658,3.388835265,64.53732058,0.679471543,0.815400089,0.263384543,9.467497249,0.159939195,12.0553815,8.633134346,8.509346788,6.998291002,8.486809217,2,1,8.233792841,3.174715695,8.099021623,9.810807954,8.8,10:00-17:00,0.262413346,1,4.86,0.853535261,231.7371797,7.5,4.3,10,10,4.852555724,14,3,6,9823.862936,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,3.865101312,4.86
OS_012,Liberty Cinema,18.9347,72.8278,Art Deco Cinema,Marine Lines,1947,UNESCO World Heritage,Kickin' it old school,77,8.524794896,13.93271162,1141.065362,6.32896747,9.104160674,777.3435238,11.37065188,18.42682706,9.569253719,1464,4280,2748,6,2,0.745508744,0.166913827,0.2470106,0.587116024,0.267926464,5.172128636,48.87377222,0.763627932,0.830011085,0.129960244,8.678606516,0.237381596,14.94549483,9.182520762,7.907525167,7.637844288,7.260850562,2,1,5.829504972,3.06348803,10.02455054,9.427239553,8.8,10:00-17:00,0.381477436,1,4.88,0.959672701,504.2397742,7.5,3.85,10,7,3.796682448,7,3,6,9484.71324,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,3.584117155,4.88
OS_013,Metro Cinema,18.9347,72.8278,Art Deco Cinema,Marine Lines,1938,UNESCO World Heritage,Kickin' it old school,86,11.16077059,13.48155924,1194.848121,6.409578079,9.687637575,484.3244171,15.50182553,15.16638418,9.793067888,869,4295,4868,8,2,0.437046406,0.476658426,0.197156894,0.449738125,0.065448059,3.944658975,82.18631668,0.752418251,0.820322914,0.062661986,7.216379809,0.051171608,12.71629632,9.182296777,8.541853523,6.774043684,9.7418801,0,1,7.256217935,3.810520729,6.888158168,9.933960376,8.8,10:00-17:00,0.41556192,1,5,0.981675181,504.2397742,7.5,4.3,10,7,3.796682448,7,3,6,9484.71324,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,3.672251184,5
OS_014,Regal Cinema,18.922,72.8331,Art Deco Cinema,Colaba,1933,UNESCO World Heritage,Kickin' it old school,91,12.70735196,18.50224885,808.5308208,6.948978656,10.95488349,683.5063071,9.451653407,11.77321488,9.8183858,1821,5305,7909,9,5,0.604324506,0.462309205,0.19453231,0.593468448,0.109891361,5.588908846,106.0668386,0.907842543,0.759407883,0.159515094,3.57283495,0.364838597,12.53327627,8.468610524,7.334392138,7.307900761,9.20731191,2,1,3.993710395,5.301923688,6.302139773,9.714182857,8.8,10:00-17:00,0.349016519,1,4.89,0.874314183,547.3761015,7.5,4.55,10,10,3.767333917,14,3,6,10793.00522,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,3.809358943,4.89
OS_015,Marine Drive Buildings,18.9436,72.8228,Art Deco Residential,Marine Drive,1940,UNESCO World Heritage,Kickin' it old school,84,13.62313279,6.798911753,781.4734901,6.31244876,6.586172955,514.7497304,10.30399271,11.39784554,9.826105476,2294,6282,11953,5,2,0.975492104,0.72967902,0.105248335,0.535674349,0.389446678,2.868300153,67.24881406,0.45835108,0.43498281,0.156771608,4.366145873,0.068406718,18.60573657,7.121542234,6.89080786,4.898632694,8.032627695,7,1,7.420917394,3.648489031,3.994581398,9.384872709,8.1,10:00-17:00,0.36101438,1,5,0.716779894,0,7.5,4.2,10,7,3.502884467,7,3,6,8642.654228,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,3.650216335,5
OS_016,Oval Maidan Buildings,18.9269,72.8289,Art Deco Residential,Churchgate,1935,UNESCO World Heritage,Kickin' it old school,89,8.787581409,10.26926558,611.9966639,7.200481661,5.170018168,458.1990249,11.22424889,17.21773065,9.558799863,3747,6665,12948,10,3,0.674808348,0.512002993,0.193430465,0.464630348,0.369630925,6.811442936,57.85624346,0.706612907,0.713735732,0.189001277,16.37213454,0.041249756,11.92715637,7.504681289,6.623699629,5.349634913,7.170656277,2,1,7.542070009,5.27901817,6.999892241,9.995128968,8.1,10:00-17:00,0.276477083,1,5,0.848268743,368.6826566,7.5,4.45,10,10,4.83112367,14,3,6,10315.29923,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,3.974834275,5
OS_017,Backbay Reclamation Buildings,18.938,72.825,Art Deco Residential,Nariman Point,1942,UNESCO World Heritage,Kickin' it old school,82,12.12519637,3.449069403,589.5097589,6.416275605,13.24917923,0,9.306812139,13.06945453,9.52310185,1828,5376,9838,3,2,0.660352442,0.559410354,0.014715657,0.533776225,0.281329981,4.737440219,30.44425661,0.736010213,0.730575412,0.004447399,13.58363479,0.240419125,8.709910679,8.750175242,6.675743615,6.253048075,7.943665549,3,1,6.685119531,4.327308491,6.723231709,9.619853129,8.1,10:00-17:00,0.444301687,1,4.75,0.741413271,661.7680541,7.5,4.1,10,0.42724407,1.591552301,3.5,3,6,9187.390065,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,2.863214241,4.75
OS_018,New India Assurance Building,18.9314,72.8289,Art Deco Commercial,Fort,1936,Grade II Heritage,Kickin' it old school,88,6.142180468,5.57525421,450.1536475,6.210291127,8.772190231,909.002231,8.499572833,12.32225304,6.709914655,931,1336,2200,3,1,0.709811932,0.267285743,0.113152783,0.447816035,0.208437968,6.120280036,77.17348411,0.930407819,0.547085841,0.089607934,8.08608072,0.258493605,8.428105853,5.743822225,5.152254389,8.040828036,8.113185996,4,1,7.017936831,4.594575039,10.21700966,7.419474349,6,10:00-17:00,0.340008941,0,3.74,0.898290927,231.7371797,7.5,4.4,7.5,10,4.852555724,14,3,6,9823.862936,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,2.693878376,3.74
OS_019,Phoenix Mills,19.0134,72.8333,Textile Mill,Lower Parel,1905,Converted Heritage,Kickin' it old school,119,1.411522555,6.403939963,1455.300532,6.979948622,4.862459195,558.9286668,13.98488713,12.56953764,6.204019448,291,1705,4768,1,5,0.588785124,0.539549594,0.189883607,0.547026586,0.404629292,2.873019999,40.16953487,0.764819336,0.512297903,0.01683416,6.561444634,0.233459491,15.26912255,7.907244177,6.261453671,7.507089941,8.328603245,8,0,7.180850348,4.694678929,8.629649967,5.494462369,7.1,10:00-17:00,0.158205539,0,3.89,0.783206067,7805.006426,8,5.95,5,5,2,5,3,6,1327.048225,3.364758873,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,2.1006,3.89
OS_020,Century Mills,19.0089,72.8267,Textile Mill,Worli,1897,Industrial Heritage,Kickin' it old school,127,4.851362763,6.890399817,1191.276233,8.6051568,10.79774256,672.5254764,11.67909743,10.92139298,6.375013099,797,1324,2594,1,0,0.787820873,0.46702132,0.233359513,0.423561963,0.322854214,3.125376429,45.07166565,0.500332615,0.685581753,0.124070346,6.376325065,0.288087731,11.58447187,6.708035032,7.105754907,8.156049334,9.604555234,1,1,7.783174538,4.581722282,7.107816047,7.020229899,7.1,10:00-17:00,0.374867479,0,3.86,0.933903826,7239.831949,8.5,6.35,6.5,5,2,5,3,6,2176.53643,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,2.30635,3.86
OS_021,Swadeshi Mills,19.0178,72.8356,Textile Mill,Parel,1886,Industrial Heritage,Kickin' it old school,138,7.064140845,6.029840127,1109.533905,9.360623043,8.200162226,691.1577088,6.723965455,6.295195587,6.632092416,186,1502,4117,2,4,0.771540667,0.185520826,0.113613467,-0.019871224,0.347032924,2.609715422,44.4805874,0.817057834,0.65218125,0.029659464,9.563078384,0.187543046,12.66898715,7.335319248,5.95796383,7.472897396,7.58385566,1,1,8.759086322,4.113231392,10.02738619,7.048907644,7.1,10:00-17:00,0.246282073,1,3.84,0.787075968,8323.201255,8.5,6.9,6.5,5,2,5,3,6,944.8743712,5.275628144,0.275628144,0.551256288,FALSE,5,FALSE,FALSE,0.8,1,1,2.2944,3.84
OS_022,Standard Mills,19.0145,72.8334,Textile Mill,Lower Parel,1922,Industrial Heritage,Kickin' it old school,102,2.589276197,7.718515468,594.9064404,8.170415343,11.37345702,402.4504395,5.304508452,11.65200503,6.380018314,644,2097,3299,3,1,0.891157233,0.620858366,0.229555953,0.444104624,0.069768049,3.868348531,4.839685498,0.416181597,0.89093574,0.194165652,8.939708608,-0.022926345,9.138020613,7.096649701,5.972736887,9.954227694,7.731141394,4,1,8.890102574,5.740894625,8.783581373,6.540164732,7.1,10:00-17:00,0.504113635,0,3.77,0.999986776,7927.034103,7.5,5.1,6.5,5,2,5,3,6,1266.055836,3.669720821,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,2.158325,3.77
OS_023,Matulya Mills,19.0089,72.8267,Textile Mill,Lower Parel,1925,Industrial Heritage,Kickin' it old school,99,1.062498051,9.537858484,1072.311559,6.491970876,9.281264043,717.7506491,5.01361459,9.37072733,6.072985773,609,1699,4053,9,1,0.647004508,0.219952118,0.074086489,0.367407934,0.276111371,0.4794857,67.7224448,0.743673382,0.441066198,0.240860048,8.897217372,0.011142879,12.69124374,7.544621607,7.004087589,5.74984647,7.79347084,2,0,5.220540144,3.724032757,4.927329077,6.362487897,7.1,10:00-17:00,0.208197564,0,3.78,0.859996279,7239.831949,7.5,4.95,6.5,5,2,5,3,6,2176.53643,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,2.16405,3.78
OS_024,Tata Mills,19.0267,72.8445,Textile Mill,Dadar,1912,Industrial Heritage,Kickin' it old school,112,4.543393742,12.14436778,1290.330344,9.401530998,5.562012145,963.6127918,7.530325473,5.10147923,6.12731234,576,1284,3180,4,2,0.829327064,0.002331933,0.310223769,0.379755398,0.282257124,3.098282162,40.67407929,0.50741895,0.749930466,0.192282156,6.255164441,0.295052708,8.416248617,7.476828028,6.124790802,9.102624693,7.505271405,1,1,6.776363706,5.517419467,7.470775443,6.407725978,7.1,10:00-17:00,0.300584069,0,3.69,0.806763819,9478.066115,8,5.6,6.5,0,0,0,3,6,863.400275,5.682998625,0.682998625,1.36599725,FALSE,5,FALSE,FALSE,0.8,1,1,1.7712,3.69
OS_025,Sewri Fort,19.0067,72.8556,Colonial Fort,Sewri,1680,ASI Protected,Kickin' it old school,344,4.66902511,4.090273311,300.0464529,9.885236304,17.75660642,820.3303994,10.70988359,20.044202,8.364700145,602,2220,4575,4,1,0.64636096,0.227458532,0.07653096,0.391538952,0.229201587,5.349998306,66.10062657,0.741628353,0.915767461,0.114176872,7.645360897,0.013086815,13.46491279,9.305384913,8.687424911,8.338085707,8.235218894,2,0,8.36020343,2.263981595,5.813749771,7.810972132,8.7,10:00-17:00,0.416564003,1,4.04,0.792237457,7790.771243,9.5,10,8.5,3,2,3,3,6,1785.902937,1.070485313,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,2.6361,4.04
OS_026,Mahim Fort,19.0378,72.8356,Colonial Fort,Mahim,1540,ASI Protected,Kickin' it old school,484,7.961932809,4.706260303,129.6661064,9.064191213,25.12549886,61.59852381,11.39370223,8.630652398,7.143769668,384,1984,4883,5,5,0.486756102,0.484783715,-0.04691386,0.276921317,0.308072959,4.055392133,49.78574766,0.863163944,0.844246861,0.174136617,5.669076666,0.305896018,10.33090869,9.080775712,8.260146111,8.562829806,10.37151962,5,1,6.036518458,5.178202579,5.198514175,7.992677271,8.7,10:00-17:00,0.344696296,1,4.17,0.803606802,10513.9305,9.5,10,8.5,3,2,3,3,6,2292.30948,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,2.720925,4.17
OS_027,Worli Fort,19.0089,72.8111,Colonial Fort,Worli,1675,ASI Protected,Kickin' it old school,349,11.16626218,8.328585457,61.31636326,9.618776149,18.7086247,783.8705359,5.288982241,14.35546646,7.725264222,387,1888,4415,0,2,0.817893988,0.475427699,0.104276353,0.28797399,0.307905944,6.045658964,46.8738582,0.847836562,0.683609287,0.30828873,15.20102147,0.081600991,8.911797119,9.286850858,7.751023402,9.691067,8.006349448,4,0,5.636059321,3.100074087,6.319904109,7.739751385,8.7,10:00-17:00,0.259095627,0,4.07,0.979338444,7332.43091,9.5,10,8.5,3,2,3,3,6,3686.566818,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,2.655675,4.07
OS_028,Sion Fort,19.0434,72.8634,Colonial Fort,Sion,1669,ASI Protected,Kickin' it old school,355,7.503231388,6.418560407,118.4533598,10.47824234,15.14910242,970.9409612,8.827880683,16.42713712,7.580865366,381,1654,4127,4,4,0.808764133,0.224240039,0.203970487,0.372908937,0.269664701,6.88659133,50.01768203,0.925235989,0.495353555,0.137408321,8.378213082,0.155855355,6.621352155,8.839660123,8.737606874,7.788091357,6.810449342,3,0,6.456415472,3.05229099,6.015238712,7.80909494,8.7,10:00-17:00,0.303885342,1,4.32,0.697149523,11845.39391,9.5,10,8.5,3,2,3,3,6,3363.547817,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,2.8188,4.32
OS_029,Crawford Market,18.9467,72.8342,Colonial Market,Fort,1869,Grade I Heritage,Kickin' it old school,155,13.47627775,4.862274999,390.0450415,9.020562926,19.28553881,622.3981491,11.36820766,8.984124605,8.145492337,1041,2197,4086,6,2,0.684008886,0.224924671,0.193449099,0.357557926,0.308590492,2.247325237,68.1520334,0.829218401,0.520750718,0.081664078,4.906286683,0.228932406,11.08379727,5.505828904,5.300833781,7.977218856,8.504368392,2,1,7.948526834,3.752832456,8.352954325,8.597688788,6,10:00-17:00,0.307799408,1,3.91,0.921314775,1149.80148,8.5,7.75,9,10,3,10,3,6,8065.215771,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,2.981375,3.91
OS_030,Zaveri Bazaar,18.9467,72.8342,Historic Market,Zaveri Bazaar,1700,Historic Market,Kickin' it old school,324,6.146693553,4.930054606,1052.460243,10.46232289,14.88083776,775.8333808,11.38956626,11.27235465,5.959050662,5588,8137,12241,5,2,0.599200411,0.291882606,0.20464516,-0.011391366,0.230516219,3.440942692,59.4294875,0.535103991,0.676884219,0.109909733,13.44307416,0.287250338,15.0840476,6.905545686,6.726136415,5.866695222,7.020002555,3,1,8.282176181,4.051314927,6.198503172,5.951835683,6.8,10:00-17:00,0.29945163,0,3.45,0.774207719,1149.80148,9.5,10,6,10,3,10,3,6,8065.215771,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,2.406375,3.45
OS_031,Mangaldas Market,18.9467,72.83,Historic Market,Bhuleshwar,1850,Historic Market,Kickin' it old school,174,3.587971956,6.404256273,1052.575212,9.438203451,18.56275869,911.8737856,9.582409318,9.749884956,4.861365185,6506,5467,8659,4,2,0.580483667,0.016771368,0.138244805,0.573641619,0.340444467,0.377794143,66.62466013,0.761645184,0.764452291,0.231333583,9.484724919,0.200551626,6.166717995,7.095525756,6.686620113,10.76851661,8.955052715,1,1,6.154910344,4.86752046,4.560453984,5.680415079,6.8,10:00-17:00,0.29809475,1,3.59,0.89430106,832.3718444,8.5,8.7,6,10,3.502884467,10,3,6,8136.504323,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,2.441355329,3.59
OS_032,Chor Bazaar,18.9589,72.8333,Historic Market,Chor Bazaar,1840,Historic Market,Kickin' it old school,184,7.502602329,8.219695305,325.7362336,9.025785447,15.64753544,282.4971428,4.746468334,15.39592114,5.435095757,7710,6981,14025,5,2,0.567419056,0.564018778,0.20536609,0.179394419,0.067110115,6.773313047,74.82946069,0.491437353,0.634603056,0.053119748,12.84549872,0.212790346,12.57550012,7.066972362,6.214005525,7.614095176,10.90263162,4,1,6.279638237,3.863863781,9.269029648,5.908601834,6.8,10:00-17:00,0.561113331,1,3.61,0.851168659,2022.671484,9.5,9.2,6,10,3,10,3,6,6745.413361,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,2.517975,3.61
OS_033,Bombay Gymkhana,18.9269,72.8289,Colonial Club,Fort,1875,Grade I Heritage,Kickin' it old school,149,19.73802669,3.644690506,791.4658772,8.086515415,8.60547415,621.7355889,10.67368909,9.005932896,8.443587211,825,874,1097,3,4,0.599307118,0.605953236,0.149677412,0.247311463,0.146460166,3.769664528,77.97321235,1.202719501,0.630512725,0.159272326,6.343427465,-0.016993941,6.902624304,7.437914755,7.663921647,7.405496623,5.641865866,3,1,7.053773593,6.088090458,7.73930345,8.213990389,7.5,10:00-17:00,0.351173922,1,4.35,0.974264075,368.6826566,8.5,7.45,9,10,4.83112367,14,3,6,10315.29923,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,3.436355819,4.35
OS_034,Royal Bombay Yacht Club,18.9178,72.8289,Colonial Club,Apollo Bunder,1846,Grade I Heritage,Kickin' it old school,178,9.144416497,5.460190735,1224.727647,9.466589102,7.265766621,338.4423989,12.0123341,15.35024059,8.856869207,327,593,966,5,4,0.636246059,0.312401033,0.297177453,0.144364274,0.348494879,4.634228422,51.61331382,0.782619913,0.584119199,0.181529184,6.165535526,0.258693999,7.375703276,7.720768572,6.351462404,8.655544625,9.094300922,3,1,7.657672593,3.47401666,5.847646625,7.927180923,7.5,10:00-17:00,0.26935392,1,4.28,0.878506999,1072.644495,9.5,8.9,9,0,1.168579424,0,3,6,11310.87633,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,2.610922799,4.28
OS_035,Wellington Club,18.9269,72.8289,Colonial Club,Fort,1860,Grade II Heritage,Kickin' it old school,164,8.58219599,5.433678383,907.8783294,9.735415537,5.29817514,768.9579467,12.04417906,18.92294357,6.563425934,385,805,917,3,4,0.582164087,0.347625377,-0.075834855,0.44596276,0.289103588,5.796602612,69.29115758,0.716276963,0.636210612,0.130179528,10.21399517,0.069142686,9.447096496,6.460519372,7.340253511,8.741752611,7.533461354,1,1,6.704038848,3.882993828,6.797747808,7.781845555,7.5,10:00-17:00,0.36089035,0,4.24,0.692734311,368.6826566,8.5,8.2,7.5,10,4.83112367,14,3,6,10315.29923,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,3.158659465,4.24
